Time,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE,L5S1_FE
4.86666667,0.1860314644565797,-0.0199092692288014,-0.3511500199662375,0.3892816507524309,-2.5223335360504526,-1.840572504575508,1.055711204805039,1.3897317761741783,0.5963499130367597,
4.88333333,0.1803775858855405,-0.0231805583463044,-0.3510495959900058,0.3867047085892426,-2.541057182698021,-1.8561052900190984,1.022446675790911,1.3885575765983678,0.58911559589294,
4.9,0.1730149828529091,-0.0274950859101288,-0.3510461554224513,0.3847203016928492,-2.5621197368731417,-1.9028791723674152,0.985222319160716,1.3745676109008598,0.5749577256816659,
4.91666667,0.1662773974097814,-0.0321456600407969,-0.3520837831588264,0.3804675533740246,-2.5816131873417745,-1.9335334241277733,0.948482551452008,1.3535962161452366,0.5671802899998937,
4.93333333,0.1600400739448235,-0.0373128538989832,-0.3546252876332833,0.3741201525167423,-2.6003283440097307,-1.9681906077262024,0.9100394701514546,1.3376505920911752,0.552258621296446,
4.95,0.1531786647216496,-0.0440617825859855,-0.3599389233423583,0.3693924533336262,-2.617865594197077,-1.9901197262525177,0.8689025419164205,1.3295136548863409,0.5395147112527179,
4.96666667,0.1434990814309926,-0.0528814283660839,-0.3635203529300846,0.3616619739900497,-2.636131049329965,-2.0332365250986864,0.8274214556968442,1.3057567249419773,0.5165065060899101,
4.98333333,0.134481503969078,-0.0613829117936508,-0.3680399088589969,0.3542453465593508,-2.649798701409316,-2.0427541894822467,0.7835281506162183,1.3018315853957274,0.5061187198505396,
5.0,0.1193251410156475,-0.0672860839447998,-0.3682471478581153,0.3490445620943805,-2.668826825282752,-2.0771027025267483,0.7356916681860562,1.2748300199549998,0.4808837676029684,
5.01666667,0.110140934701117,-0.0710285274864055,-0.3681829433035868,0.3399013437901356,-2.6788308621397614,-2.079396249296105,0.6930835092475329,1.2735638209327238,0.4727129720578427,
5.03333333,0.0979281883880971,-0.0699741939820292,-0.365273319044754,0.331076028482495,-2.6936191232857074,-2.0823378155237102,0.6453151733725478,1.270228846147079,0.4609260283119111,
5.05,0.0926574001630927,-0.069180670612832,-0.3621181578524933,0.3162079441796104,-2.701257782602666,-2.0852342464896614,0.6085720029699302,1.2688977535142858,0.4514768656580304,
5.06666667,0.0876159827593196,-0.0636046836428484,-0.35777737582433,0.2987115963068826,-2.714535829196417,-2.0880550317442386,0.5681969800684301,1.2669376382849544,0.4381021084505641,
5.08333333,0.0844036595905952,-0.0577088258175287,-0.3503877269950767,0.2521948133492224,-2.723165186615092,-2.0467500068346878,0.5352266173985466,1.2301770463548094,0.3595878336081587,
5.1,0.0853827306579011,-0.0534846049053281,-0.3460420727057735,0.2210589514208116,-2.7304501636857803,-2.071349945817596,0.506174153776511,1.2141451110568475,0.3444379638031445,
5.11666667,0.0868237537262957,-0.0514411374633105,-0.3411390859170894,0.1921343696438659,-2.733863636399863,-2.0816230522314045,0.4793013552373368,1.2105553373990336,0.3339019968413517,
5.13333333,0.0900370048865834,-0.0532088475959019,-0.3372726028727419,0.1612786114183174,-2.7317465317713747,-2.089815772078995,0.4591702049187233,1.208039071258225,0.3260493365961539,
5.15,0.087151520102102,-0.059866668001555,-0.3176308102387306,0.0691071840482756,-2.735779841937741,-2.144120143124153,0.4377942697205583,1.1732774829366062,0.2858803873374307,
5.16666667,0.0906482673617192,-0.0646611269012246,-0.3080990256179226,0.0299324615979509,-2.7335673515749725,-2.148080895066592,0.4154431590299777,1.1728693631728344,0.2777736197195131,
5.18333333,0.0942431537870443,-0.070728975928754,-0.2967160632855735,-0.0147099955208316,-2.7304562889187904,-2.151769614755828,0.3930776788691326,1.172309705545824,0.2669272497899775,
5.2,0.0945881397557837,-0.0821073674183252,-0.2735268374596707,-0.1228867516915858,-2.7229721196895,-2.139541757905743,0.3760507278739507,1.161661985675625,0.2224588650040047,
5.21666667,0.1006135620981252,-0.0878557306101515,-0.26511975924041,-0.1727454513074578,-2.7201999849642235,-2.14030122012739,0.3527840481755687,1.162509016999964,0.2171430333216649,
5.23333333,0.1026530931245478,-0.0914750958018346,-0.2490049975974659,-0.2264812645936181,-2.718503391413597,-2.1379964587449245,0.3241458590463791,1.1650548046869382,0.2088404484883198,
5.25,0.0994570334573922,-0.0957595654798141,-0.224646001841394,-0.3113016887383031,-2.715701102111235,-2.08735106593135,0.2996234571881552,1.1829404936278838,0.1696316008368613,
