participant,task,joint,method,bias,conf_interval,r_squared,rmsd
participant_01,exotic,RShoulder_AA,Method1,0.03844636813892602,0.018448869649966983,0.9530004250955934,0.09991796164276841
participant_01,exotic,RShoulder_AA,Method2,,,,
participant_01,exotic,RShoulder_RIE,Method1,-0.4923873417549405,0.12087885940910775,0.8631535486964466,0.7597086668222574
participant_01,exotic,RShoulder_RIE,Method2,,,,
participant_01,exotic,RElbow_FE,Method1,-0.19334246318223677,0.02079095799156914,0.9289272591120972,0.21950718792468704
participant_01,exotic,RElbow_FE,Method2,,,,
participant_01,exotic,RElbow_PS,Method1,-0.4598689415499953,0.11869484130592099,0.008896733935796819,0.6652233161405052
participant_01,exotic,RElbow_PS,Method2,,,,
participant_01,exotic,RWrist_FE,Method1,-0.3303829610630241,0.07223143204452899,0.11817692901493848,0.4724780937849064
participant_01,exotic,RWrist_FE,Method2,,,,
participant_01,dance,RHip_FE,Method1,0.008516787341682446,0.01454114746362134,0.910087668510774,0.0746767816193943
participant_01,dance,RHip_FE,Method2,,,,
participant_01,dance,RHip_AA,Method1,0.04674969334167268,0.00985448663860607,0.9325304007429249,0.06865428182633498
participant_01,dance,RHip_AA,Method2,,,,
participant_01,dance,RKnee_FE,Method1,-0.12107574129651466,0.0062251615924955065,0.9896476563741533,0.1251722735432392
participant_01,dance,RKnee_FE,Method2,,,,
participant_01,dance,RAnkle_FE,Method1,0.19709593542726953,0.020860319793399144,0.8420482497655958,0.22399597290673598
participant_01,dance,RAnkle_FE,Method2,,,,
participant_01,dance,L5S1_FE,Method1,-0.21552018819198068,0.016151498833338645,0.829189564099226,0.23044266486000314
participant_01,dance,L5S1_FE,Method2,,,,
participant_01,dance,RShoulder_AA,Method1,0.09868539110619601,0.02454907495187099,0.8603418223400152,0.15846990738037486
participant_01,dance,RShoulder_AA,Method2,,,,
participant_01,dance,RShoulder_RIE,Method1,-0.08699036556511505,0.049179159175764625,0.7361043068406159,0.2509387436053536
participant_01,dance,RShoulder_RIE,Method2,,,,
participant_01,dance,RElbow_FE,Method1,-0.1404358570111839,0.012542607180756699,0.9758576550587297,0.15406303443603334
participant_01,dance,RElbow_FE,Method2,,,,
participant_01,dance,RElbow_PS,Method1,0.020499064895633003,0.12713487315473126,0.11114275600053991,0.6088303103480889
participant_01,dance,RElbow_PS,Method2,,,,
participant_01,dance,RWrist_FE,Method1,-0.12495976562518252,0.03305903754202346,0.6529294647130597,0.20855465501222165
participant_01,dance,RWrist_FE,Method2,,,,
participant_02,gait,RHip_FE,Method1,0.04429304633692238,0.006516219483080028,0.981594068194503,0.05538205170831248
participant_02,gait,RHip_FE,Method2,0.023035980699151786,0.009704305305890417,0.9621518002767661,0.05460834148571772
participant_02,gait,RHip_AA,Method1,-0.043092577767660456,0.007003824329819457,0.6200439547876253,0.055981019548233056
participant_02,gait,RHip_AA,Method2,0.024383094491563718,0.007177967833570472,0.5323708632803353,0.043996898137586025
participant_02,gait,RKnee_FE,Method1,-0.15078035458005545,0.0032959348125791016,0.9974457122412542,0.15171517056489622
participant_02,gait,RKnee_FE,Method2,-0.12503645459333138,0.00862266138973428,0.9815855394706,0.13255004343727517
participant_02,gait,RAnkle_FE,Method1,0.26555828132750064,0.006717829108331632,0.9179297015439356,0.2677609971835843
participant_02,gait,RAnkle_FE,Method2,-0.0768479095260102,0.010377315715089762,0.8135848264744511,0.09332109051185543
participant_02,gait,L5S1_FE,Method1,-0.08243332373816914,0.006261224641458184,0.003989688003279146,0.08840665925424193
participant_02,gait,L5S1_FE,Method2,,,,
participant_02,gait,RShoulder_AA,Method1,-0.0758071018809631,0.0028186962566534297,0.773601695580123,0.07715913963466636
participant_02,gait,RShoulder_AA,Method2,-0.06545207689836566,0.004791187517352591,0.4298492843946764,0.06986790602920087
